System check identified some issues:

WARNINGS:
?: (urls.W005) URL namespace 'admin' isn't unique. You may not be able to reverse all URLs in this namespace

System check identified 1 issue (0 silenced).
[10/Jan/2019 02:53:44] "GET / HTTP/1.1" 200 4319
[10/Jan/2019 02:53:44] "GET /html_templates/css/app.css HTTP/1.1" 304 0
[10/Jan/2019 02:53:44] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 02:53:44] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 02:53:44] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
Not Found: /favicon.ico
[10/Jan/2019 02:53:44] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 02:53:47] "GET /boards/1/ HTTP/1.1" 200 5984
[10/Jan/2019 02:59:12] "GET / HTTP/1.1" 200 4319
[10/Jan/2019 02:59:44] "GET / HTTP/1.1" 200 4319
[10/Jan/2019 02:59:46] "GET / HTTP/1.1" 200 4319
[10/Jan/2019 02:59:55] "GET / HTTP/1.1" 200 4311
Not Found: /favicon.ico
[10/Jan/2019 03:14:00] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 03:14:01] "GET / HTTP/1.1" 200 4317
[10/Jan/2019 03:14:01] "GET /html_templates/css/app.css HTTP/1.1" 304 0
[10/Jan/2019 03:14:01] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:14:01] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:14:01] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:15:47] "GET / HTTP/1.1" 200 4356
[10/Jan/2019 03:15:47] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:15:47] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:15:47] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:15:47] "GET /html_templates/css/app.css HTTP/1.1" 200 52
Not Found: /favicon.ico
[10/Jan/2019 03:15:48] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 03:16:00] "GET / HTTP/1.1" 200 4346
[10/Jan/2019 03:16:00] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:16:00] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:16:00] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:16:00] "GET /html_templates/css/app.css HTTP/1.1" 304 0
[10/Jan/2019 03:17:53] "GET /admin/ HTTP/1.1" 302 0
[10/Jan/2019 03:17:53] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1995
[10/Jan/2019 03:17:53] "GET /html_templates/admin/css/base.css HTTP/1.1" 200 16225
[10/Jan/2019 03:17:53] "GET /html_templates/admin/css/login.css HTTP/1.1" 200 1203
[10/Jan/2019 03:17:53] "GET /html_templates/admin/css/responsive.css HTTP/1.1" 200 17976
[10/Jan/2019 03:17:54] "GET /html_templates/admin/css/fonts.css HTTP/1.1" 200 423
[10/Jan/2019 03:17:54] "GET /html_templates/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[10/Jan/2019 03:17:54] "GET /html_templates/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[10/Jan/2019 03:17:54] "GET /html_templates/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
Not Found: /favicon.ico
[10/Jan/2019 03:17:54] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 03:18:01] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2156
[10/Jan/2019 03:18:11] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2156
[10/Jan/2019 03:18:21] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2156
[10/Jan/2019 03:18:46] "GET /admin/ HTTP/1.1" 302 0
[10/Jan/2019 03:18:46] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1995
[10/Jan/2019 03:19:07] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2156
[10/Jan/2019 03:19:21] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[10/Jan/2019 03:19:21] "GET /admin/ HTTP/1.1" 200 4051
[10/Jan/2019 03:19:21] "GET /html_templates/admin/css/dashboard.css HTTP/1.1" 200 412
[10/Jan/2019 03:19:21] "GET /html_templates/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[10/Jan/2019 03:19:21] "GET /html_templates/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[10/Jan/2019 03:19:24] "GET /admin/boards/board/ HTTP/1.1" 200 4845
[10/Jan/2019 03:19:24] "GET /html_templates/admin/css/changelists.css HTTP/1.1" 200 6170
[10/Jan/2019 03:19:24] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/core.js HTTP/1.1" 200 7134
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/prepopulate.js HTTP/1.1" 200 1530
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/actions.js HTTP/1.1" 200 6538
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/jquery.init.js HTTP/1.1" 200 363
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6918
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/urlify.js HTTP/1.1" 200 8972
[10/Jan/2019 03:19:24] "GET /html_templates/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[10/Jan/2019 03:19:25] "GET /html_templates/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 271751
[10/Jan/2019 03:19:25] "GET /html_templates/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[10/Jan/2019 03:19:30] "GET /admin/boards/board/3/change/ HTTP/1.1" 200 4832
[10/Jan/2019 03:19:30] "GET /html_templates/admin/css/forms.css HTTP/1.1" 200 8505
[10/Jan/2019 03:19:30] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:19:30] "GET /html_templates/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[10/Jan/2019 03:19:30] "GET /html_templates/admin/js/change_form.js HTTP/1.1" 200 712
[10/Jan/2019 03:19:30] "GET /html_templates/admin/css/widgets.css HTTP/1.1" 200 10340
[10/Jan/2019 03:20:02] "POST /admin/boards/board/3/change/ HTTP/1.1" 302 0
[10/Jan/2019 03:20:02] "GET /admin/boards/board/3/change/ HTTP/1.1" 200 5037
[10/Jan/2019 03:20:02] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:20:02] "GET /html_templates/admin/img/icon-yes.svg HTTP/1.1" 200 436
[10/Jan/2019 03:20:04] "POST /admin/boards/board/3/change/ HTTP/1.1" 302 0
[10/Jan/2019 03:20:04] "GET /admin/boards/board/ HTTP/1.1" 200 5024
[10/Jan/2019 03:20:04] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:20:11] "GET / HTTP/1.1" 200 4343
Not Found: /favicon.ico
[10/Jan/2019 03:20:11] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 03:20:20] "GET /admin/boards/board/2/change/ HTTP/1.1" 200 4841
[10/Jan/2019 03:20:21] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:20:49] "POST /admin/boards/board/2/change/ HTTP/1.1" 302 0
[10/Jan/2019 03:20:49] "GET /admin/boards/board/ HTTP/1.1" 200 5025
[10/Jan/2019 03:20:49] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:20:51] "GET /admin/boards/board/1/change/ HTTP/1.1" 200 4834
[10/Jan/2019 03:20:51] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:21:19] "POST /admin/boards/board/1/change/ HTTP/1.1" 302 0
[10/Jan/2019 03:21:19] "GET /admin/boards/board/ HTTP/1.1" 200 5025
[10/Jan/2019 03:21:19] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:21:22] "GET /admin/boards/board/add/ HTTP/1.1" 200 4575
[10/Jan/2019 03:21:22] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:22:10] "POST /admin/boards/board/add/ HTTP/1.1" 302 0
[10/Jan/2019 03:22:11] "GET /admin/boards/board/ HTTP/1.1" 200 5251
[10/Jan/2019 03:22:11] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:22:14] "GET / HTTP/1.1" 200 4892
[10/Jan/2019 03:22:14] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:22:14] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:22:14] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:22:14] "GET /html_templates/css/app.css HTTP/1.1" 304 0
[10/Jan/2019 03:22:40] "GET / HTTP/1.0" 200 4448
[10/Jan/2019 03:22:55] "GET / HTTP/1.1" 200 4892
[10/Jan/2019 03:22:55] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:22:55] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:22:55] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:22:55] "GET /html_templates/css/app.css HTTP/1.1" 304 0
Not Found: /favicon.ico
[10/Jan/2019 03:22:56] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 03:23:05] "GET /admin/boards/board/add/ HTTP/1.1" 200 4575
[10/Jan/2019 03:23:05] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:24:04] "POST /admin/boards/board/add/ HTTP/1.1" 302 0
[10/Jan/2019 03:24:04] "GET /admin/boards/board/ HTTP/1.1" 200 5500
[10/Jan/2019 03:24:04] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[10/Jan/2019 03:24:09] "GET / HTTP/1.1" 200 5459
[10/Jan/2019 03:24:09] "GET /html_templates/js/jquery-3.2.1.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:24:09] "GET /html_templates/js/popper.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:24:09] "GET /html_templates/js/bootstrap.min.js HTTP/1.1" 304 0
[10/Jan/2019 03:24:09] "GET /html_templates/css/app.css HTTP/1.1" 304 0
Not Found: /favicon.ico
[10/Jan/2019 03:24:10] "GET /favicon.ico HTTP/1.1" 404 5458
[10/Jan/2019 03:24:29] "GET /boards/2/ HTTP/1.1" 200 3276
